gene_id	short_gene_id	APA_change	pvalue	APA_type	chrom	strand	gene_name	number_of_PAS	PAS_coordinates	PAS_read_counts	PAS_PAUs	PAUs_control	PAUs_experimental	PAU_changes	P_adj	APA_trend
ENSG00000124422.12	ENSG00000124422	0.148706658814071	1.19914300711343e-10	Last_exon_tandem_APA	chr17	-	USP22	3	20999744,20999595,21002296	1150,853,30	55.53,41.19,1.45	60.91,32.49,1.83	49.91,47.05,0.74	-11,14.56,-1.09	4.33377024940313e-09	longer
ENSG00000124145.6	ENSG00000124145	0.100398406374502	0.0564694449256697	Last_exon_tandem_APA	chr20	-	SDC4	3	45325287,45326091,45326615	506,49,14	87.09,8.43,2.41	81.82,11.21,2.73	91.24,4.38,1.99	9.42,-6.83,-0.74	0.143509894065547	no change
ENSG00000164221.13	ENSG00000164221	0.358947732779508	9.82261683102337e-09	Last_exon_tandem_APA	chr5	-	CCDC112	2	115267189,115267354	181,135	56.04,41.8	34.58,63.55	66.2,30.56	31.62,-32.99	2.31397195974815e-07	longer
ENSG00000113810.16	ENSG00000113810	-0.0325909124711832	0.722138941897803	Last_exon_tandem_APA	chr3	+	SMC4	4	160434953,160433909,160433976,160434826	491,103,68,8	69.94,14.67,9.69,1.14	68.91,14.5,9.24,1.26	68.58,13.27,10.62,0.88	-0.33,-1.23,1.38,-0.38	0.741587166283046	no change
ENSG00000197958.13	ENSG00000197958	0.00853320474589355	0.646236447357591	Mixed_APA	chr9	-	RPL12	2	127447675,127447876	15333,167	98.71,1.08	98.47,1.07	98.4,1.08	-0.07,0.01	0.67937871375829	no change
ENSG00000124789.12	ENSG00000124789	0.0506289308176101	0.462437148506014	Last_exon_tandem_APA	chr6	-	NUP153	4	17615036,17615372,17623452,17615890	521,51,10,8	84.99,8.32,1.63,1.31	85.34,6.03,1.72,0.86	84.15,11.32,1.51,1.51	-1.19,5.29,-0.21,0.65	0.545582792265534	no change
ENSG00000144827.9	ENSG00000144827	0.196742609081403	0.0011288825844622	Last_exon_tandem_APA	chr3	+	ABHD10	4	111993368,111991976,111992445,111992074	260,72,15,8	72.22,20,4.17,2.22	58.94,26.49,3.97,4.64	77.51,14.35,4.31,0.48	18.57,-12.14,0.34,-4.16	0.00708424991462714	longer
ENSG00000103429.11	ENSG00000103429	0.211794102948526	9.48773171138839e-09	Last_exon_tandem_APA	chr16	+	BFAR	6	14669232,14650589,14669008,14668880,14668342,14667960	334,245,67,65,16,12	40.44,29.66,8.11,7.87,1.94,1.45	31.2,38.87,6.91,8.7,2.05,2.05	48.97,21.15,8.97,7.13,3.22,1.84	17.77,-17.72,2.06,-1.57,1.17,-0.21	2.24094744542741e-07	longer
ENSG00000060749.17	ENSG00000060749	0.060166819726764	0.357775409576158	Mixed_APA	chr11	+	QSER1	4	32980270,32977003,32978052,32975630	637,46,27,10	85.62,6.18,3.63,1.34	84.09,6.87,3.8,1.27	87.43,4.19,2.09,1.57	3.34,-2.68,-1.71,0.3	0.469465666247871	no change
ENSG00000171861.11	ENSG00000171861	-0.111129568106312	0.292627668963666	Last_exon_tandem_APA	chr17	+	MRM3	6	792501,784067,789216,791720,792227,792421	212,8,4,3,3,3	87.6,3.31,1.65,1.24,1.24,1.24	84.3,0.58,2.33,1.74,1.74,1.16	84.29,10,0,0,0,1.43	-0.01,9.42,-2.33,-1.74,-1.74,0.27	0.414375514241389	no change
ENSG00000111790.14	ENSG00000111790	0.0861111111111111	0.389786212691798	Last_exon_tandem_APA	chr12	+	FGFR1OP2	6	26966648,26960748,26966017,26965695,26962302,26961004	118,60,54,6,4,3	46.27,23.53,21.18,2.35,1.57,1.18	42.22,25.19,21.48,3.7,1.48,0	50.83,21.67,20.83,0.83,1.67,2.5	8.61,-3.52,-0.65,-2.87,0.19,2.5	0.492420298767846	no change
ENSG00000161013.17	ENSG00000161013	0.0537078098053708	0.255278617452168	Last_exon_tandem_APA	chr5	-	MGAT4B	2	179797609,179797711	1007,16	97.86,1.55	95.39,1.9	96.97,1.36	1.58,-0.54	0.380394069481325	no change
ENSG00000128585.18	ENSG00000128585	0.267613636363636	8.81260462781697e-05	Last_exon_tandem_APA	chr7	+	MKLN1	6	131487965,131496632,131491231,131488877,131488331,131492416	147,72,10,8,7,3	54.44,26.67,3.7,2.96,2.59,1.11	65,16.25,3.75,3.75,1.25,1.25	38.18,41.82,3.64,1.82,4.55,0.91	-26.82,25.57,-0.11,-1.93,3.3,-0.34	0.000828679509359717	longer
ENSG00000198265.12	ENSG00000198265	0.162024756852343	0.0507017031100097	Last_exon_tandem_APA	chr17	-	HELZ	6	67070443,67077382,67077748,67077164,67078008,67077227	119,21,11,10,9,5	61.34,10.82,5.67,5.15,4.64,2.58	56.41,6.41,7.69,6.41,6.41,5.13	63.79,12.93,4.31,4.31,3.45,0.86	7.38,6.52,-3.38,-2.1,-2.96,-4.27	0.132998131189297	no change
ENSG00000128567.17	ENSG00000128567	-0.0719976370661302	0.228981789441436	Last_exon_tandem_APA	chr7	-	PODXL	2	131500270,131503905	1630,58	92.51,3.29	90.35,2.68	84.62,9.62	-5.73,6.94	0.35619829268513	no change
ENSG00000169100.14	ENSG00000169100	-0.0180489834237673	0.345187903597464	Last_exon_tandem_APA	chrX	-	SLC25A6	3	1386271,1386151,1386426	4766,1831,291	64.11,24.63,3.91	39.68,25.75,4.87	40.15,26.31,5.62	0.47,0.56,0.75	0.458636637306006	no change
ENSG00000204175.6	ENSG00000204175	0.316417910447761	0.0776121463886457	Last_exon_tandem_APA	chr10	-	GPRIN2	3	46549043,46541735,46546481	64,5,4	83.12,6.49,5.19	64.18,4.48,4.48	40,20,10	-24.18,15.52,5.52	0.177853757410599	no change
ENSG00000171314.9	ENSG00000171314	0.0328911200507283	0.00940850171316343	Last_exon_tandem_APA	chr10	+	PGAM1	2	97433441,97433117	8791,559	92.55,5.88	91.16,6.92	94.32,4.17	3.16,-2.75	0.0389036526474116	no change
ENSG00000166503.9	ENSG00000166503	0.107905989654062	9.48088426999671e-05	Last_exon_tandem_APA	chr15	-	HDGFL3	9	83138177,83137797,83138061,83134117,83138438,83136866,83136128,83138590,83113616	508,232,220,168,91,28,19,19,16	31.91,14.57,13.82,10.55,5.72,1.76,1.19,1.19,1.01	29.43,19.54,13.5,8.74,6.04,3.47,2.57,3.34,1.16	33.29,11.67,15.48,14.62,6.76,0.86,1.84,1.6,2.21	3.86,-7.87,1.98,5.88,0.72,-2.61,-0.73,-1.74,1.05	0.000881389230844013	longer
ENSG00000182944.18	ENSG00000182944	0.146200808635226	6.66133814775094e-16	Last_exon_tandem_APA	chr22	+	EWSR1	2	29300336,29300513	1823,1416	54.65,42.45	60.44,35.99	46.78,50.56	-13.66,14.57	4.40774867585373e-14	longer
ENSG00000198561.16	ENSG00000198561	0.0844335333697036	0.0243341202953795	Last_exon_tandem_APA	chr11	+	CTNND1	2	57818445,57819180	946,74	89.67,7.01	88.72,6.81	88.89,7.18	0.17,0.37	0.0789856030273303	no change
ENSG00000142541.18	ENSG00000142541	-0.0959851335693487	0	Last_exon_tandem_APA	chr19	+	RPL13A	2	49491840,49492308	28775,6424	81.16,18.12	78.36,20.57	87.91,11.37	9.55,-9.2	0	no change
ENSG00000166619.15	ENSG00000166619	0.0934361919777765	0.0754692645140503	Mixed_APA	chr20	-	BLCAP	2	37517416,37501077	995,33	92.13,3.06	84.18,5.65	93.24,2.55	9.06,-3.1	0.174408811341022	no change
ENSG00000198231.14	ENSG00000198231	0.139352677365321	0.000241445761705039	Last_exon_tandem_APA	chr17	+	DDX42	3	63819317,63819232,63819106	518,302,22	60.02,34.99,2.55	53.12,40.22,3.01	67.09,28.64,2.01	13.97,-11.58,-1	0.00197166098873289	longer
ENSG00000154518.10	ENSG00000154518	0.0751054596743017	1.27477505218465e-08	Last_exon_tandem_APA	chr2	-	ATP5MC3	2	175178143,175176259	6226,194	95.24,2.97	93.38,3.64	95.42,2.4	2.04,-1.24	2.94146171656658e-07	no change
ENSG00000174720.18	ENSG00000174720	0.0534483566974542	0.48691827846605	Last_exon_tandem_APA	chr4	+	LARP7	3	112657586,112657455,112638502	477,9,6	93.9,1.77,1.18	89.89,2.53,1.44	92.21,0.87,0.87	2.32,-1.66,-0.57	0.56364517467404	no change
ENSG00000136518.17	ENSG00000136518	0.0280747353167175	0.717301955778304	Last_exon_tandem_APA	chr3	+	ACTL6A	2	179588407,179588282	857,40	93.15,4.35	92.75,4.38	92.35,3.98	-0.4,-0.4	0.737545738122596	no change
ENSG00000133112.17	ENSG00000133112	0.0461494153787705	7.48356265845018e-10	Last_exon_tandem_APA	chr13	-	TPT1	2	45337177,45336869	16638,4795	75.66,21.8	74.88,22.33	76.49,20.84	1.61,-1.49	2.29063198514943e-08	no change
ENSG00000090273.14	ENSG00000090273	-0.0187290969899666	0.692747086462911	Last_exon_tandem_APA	chr1	+	NUDC	2	26946397,26946870	2072,191	90.09,8.3	86.02,7.42	86.71,8.82	0.69,1.4	0.717214798789661	no change
ENSG00000100028.12	ENSG00000100028	0.0924417685913846	3.74057124121752e-05	Mixed_APA	chr22	+	SNRPD3	2	24572134,24574971	2864,208	89.98,6.53	81.2,5.32	73.84,11.45	-7.36,6.13	0.000389149139881115	no change
ENSG00000139644.13	ENSG00000139644	0.107654789583659	3.45279360658424e-14	Last_exon_tandem_APA	chr12	+	TMBIM6	3	49764934,49763005,49763067	4095,1132,123	74.99,20.73,2.25	68.8,25.81,3.25	79.24,17.21,1.54	10.44,-8.6,-1.71	1.95419431859444e-12	longer
ENSG00000113552.16	ENSG00000113552	-0.0628291552559512	0.363161417284061	Mixed_APA	chr5	-	GNPDA1	2	142000673,142001807	562,20	94.93,3.38	96.53,0.5	89.36,7.45	-7.17,6.95	0.473773498715463	no change
ENSG00000164244.21	ENSG00000164244	0.082917994039667	0.14734544288693	Last_exon_tandem_APA	chr5	+	PRRC1	3	127555081,127552306,127553038	457,77,6	81.75,13.77,1.07	79.09,12.93,1.14	82.43,13.85,1.01	3.34,0.92,-0.13	0.269351950681238	no change
ENSG00000214046.9	ENSG00000214046	0.217156153265514	1.81221189166081e-08	Mixed_APA	chr19	-	SMIM7	5	16646558,16646147,16630754,16646933,16646344	379,206,138,10,9	49.61,26.96,18.06,1.31,1.18	52.73,30.4,8.31,1.66,1.43	42.86,21.87,29.74,0.87,0.87	-9.87,-8.53,21.43,-0.79,-0.56	3.99708206202344e-07	longer
ENSG00000172922.11	ENSG00000172922	0.0865012841136793	0.0733815225511398	Mixed_APA	chr11	-	RNASEH2C	2	65719683,65717672	727,72	89.53,8.87	90.5,5.73	81.89,15.35	-8.61,9.62	0.17121086892344	no change
ENSG00000105372.8	ENSG00000105372	0.0380634169157645	6.6568639489617e-11	Last_exon_tandem_APA	chr19	+	RPS19	2	41871416,41872925	32916,477	97.84,1.42	97.7,1.25	97.36,1.75	-0.34,0.5	2.57103513633933e-09	no change
ENSG00000165119.22	ENSG00000165119	0.0957597954814688	0	Last_exon_tandem_APA	chr9	-	HNRNPK	4	83968908,83968177,83968264,83968082	5003,1864,717,602	58.22,21.69,8.34,7.01	62.16,19.77,7.58,6.66	53.04,25.22,9.86,8.16	-9.12,5.45,2.28,1.5	0	no change
ENSG00000185787.15	ENSG00000185787	0.113027990494705	2.55351295663786e-15	Last_exon_tandem_APA	chr15	+	MORF4L1	2	78897733,78897230	4045,1057	76.41,19.97	73.34,23.59	80.52,16.76	7.18,-6.83	1.61824388005522e-13	longer
ENSG00000265817.4	ENSG00000265817	0.182942430703625	0.105791457142034	Mixed_APA	chr8	-	FSBP	5	94427715,94431945,94427231,94391790,94427779	69,16,5,4,4	67.65,15.69,4.9,3.92,3.92	62.69,19.4,2.99,5.97,4.48	74.29,8.57,8.57,0,2.86	11.6,-10.83,5.58,-5.97,-1.62	0.218311793819467	no change
ENSG00000092201.10	ENSG00000092201	0.0377441323184819	0.319261602996737	Last_exon_tandem_APA	chr14	-	SUPT16H	2	21351475,21352400	1650,67	90.71,3.68	85.45,4.25	84.4,3.19	-1.05,-1.06	0.437962677647506	no change
ENSG00000132388.13	ENSG00000132388	-0.0732367637257744	0.0204597225932833	Last_exon_tandem_APA	chr17	-	UBE2G1	6	4269258,4271430,4272027,4269220,4269300,4270830	487,470,265,119,30,16	33.24,32.08,18.09,8.12,2.05,1.09	32.01,35.86,13.77,9.43,3.47,1.74	36.57,28.98,21.09,7.28,1.52,1.21	4.56,-6.88,7.32,-2.15,-1.95,-0.53	0.0699532840489957	no change
ENSG00000179950.15	ENSG00000179950	-0.0282325425993986	0.540288742442206	Last_exon_tandem_APA	chr8	-	PUF60	2	143816376,143816514	1496,34	96.52,2.19	96.1,1.95	94.93,2.19	-1.17,0.24	0.601070391054198	no change
ENSG00000072756.18	ENSG00000072756	0.230416156670747	0.000605536078768898	Mixed_APA	chr3	+	TRNT1	8	3148960,3153428,3148854,3130679,3148611,3149023,3140724,3132741	98,62,33,21,21,19,8,3	34.88,22.06,11.74,7.47,7.47,6.76,2.85,1.07	41.45,11.84,15.79,6.58,7.24,7.89,1.32,0.66	27.13,34.11,6.98,7.75,6.98,5.43,4.65,1.55	-14.32,22.27,-8.81,1.17,-0.26,-2.46,3.33,0.89	0.00427054794109821	longer
ENSG00000175826.12	ENSG00000175826	0.152423438630335	3.92803749527104e-08	Last_exon_tandem_APA	chr17	-	CTDNEP1	2	7243590,7243794	1090,367	74.2,24.98	65.59,30.91	79.18,16.71	13.59,-14.2	7.96135347296038e-07	longer
ENSG00000099194.6	ENSG00000099194	0.133223972334536	0	Last_exon_tandem_APA	chr10	+	SCD	2	100364826,100363621	6940,2545	69.37,25.44	63.05,31.01	75.69,19.75	12.64,-11.26	0	longer
ENSG00000010244.19	ENSG00000010244	0.130374371391321	4.91015317294341e-09	Last_exon_tandem_APA	chr17	+	ZNF207	6	32370341,32370449,32369966,32381885,32373749,32380373	1174,571,282,70,35,24	49.22,23.94,11.82,2.94,1.47,1.01	48.14,24.47,15.05,1.42,1.29,0.68	50.55,24.84,7.91,6.15,1.98,2.09	2.41,0.37,-7.14,4.73,0.69,1.41	1.24468925079768e-07	longer
ENSG00000101384.12	ENSG00000101384	0.0804301269869997	0.367507142330628	Last_exon_tandem_APA	chr20	-	JAG1	2	10637977,10637683	632,188	73.75,21.94	55.81,19.77	59.92,22.18	4.11,2.41	0.477103106436169	no change
ENSG00000230989.8	ENSG00000230989	0.205277305489968	0	Last_exon_tandem_APA	chr16	+	HSBP1	3	83811666,83812991,83811795	2017,1441,462	47.5,33.94,10.88	53.61,25.82,13.53	38.14,44.31,9.72	-15.47,18.49,-3.81	0	longer
ENSG00000272398.6	ENSG00000272398	0.0922156816584391	0	Last_exon_tandem_APA	chr6	-	CD24	2	106969830,106971297	15424,2377	85.52,13.18	83.19,14.84	92.17,6.64	8.98,-8.2	0	no change
ENSG00000105993.15	ENSG00000105993	-0.255847953216374	0	Last_exon_tandem_APA	chr7	+	DNAJB6	2	157417439,157386284	1045,1043	48.25,48.15	59.12,17.81	34.7,32.46	-24.42,14.65	0	shorter
ENSG00000152413.15	ENSG00000152413	0.0601352736216437	0.58009794957102	Last_exon_tandem_APA	chr5	-	HOMER1	7	79373267,79373097,79374367,79373495,79373962,79372792,79374456	108,62,57,31,21,18,5	33.33,19.14,17.59,9.57,6.48,5.56,1.54	29.27,18.05,16.59,10.73,4.88,6.34,1.95	31.93,21.01,16.81,7.56,5.88,4.2,0.84	2.66,2.96,0.22,-3.17,1,-2.14,-1.11	0.629889944850448	no change
ENSG00000167770.13	ENSG00000167770	0.0372329554196588	0.280016206554686	Mixed_APA	chr11	+	OTUB1	2	63997702,63998412	1004,881	52.93,46.44	51.16,44.99	50.45,47.5	-0.71,2.51	0.404140845514744	no change
ENSG00000181163.14	ENSG00000181163	0.0497774608936133	7.97043175904122e-09	Last_exon_tandem_APA	chr5	+	NPM1	2	171410884,171406727	19421,1515	90.74,7.08	86.91,7.91	91.13,5.34	4.22,-2.57	1.93853825404357e-07	no change
ENSG00000136240.10	ENSG00000136240	0.113788020636217	2.00362384517039e-06	Mixed_APA	chr7	-	KDELR2	6	6461088,6462716,6461759,6462871,6462785,6461136	860,446,423,222,166,28	36.16,18.76,17.79,9.34,6.98,1.18	29.37,20.63,20.36,9.29,9.43,3.28	40.28,18.35,18.17,9.78,6.68,2.25	10.91,-2.28,-2.19,0.49,-2.75,-1.03	2.89415906624211e-05	longer
ENSG00000057608.17	ENSG00000057608	0.0318140741382778	0.129772303730695	Last_exon_tandem_APA	chr10	-	GDI2	2	5765222,5763578	3866,67	94.15,1.63	93.07,1.51	92.99,2.08	-0.08,0.57	0.249055440663793	no change
ENSG00000134697.13	ENSG00000134697	0.0688138521861538	0.149209731336623	Last_exon_tandem_APA	chr1	-	GNL2	2	37566815,37566693	795,16	96.48,1.94	96.65,0.84	95.39,3.46	-1.26,2.62	0.27136992164476	no change
ENSG00000167470.14	ENSG00000167470	0.0731210279082619	0.0495005654592185	Last_exon_tandem_APA	chr19	+	MIDN	2	1259143,1258878	1080,26	95.32,2.29	91.49,2.9	94.16,1.46	2.67,-1.44	0.131133990676039	no change
ENSG00000156467.10	ENSG00000156467	0.0343544099455173	0.0346890457881839	Last_exon_tandem_APA	chr8	-	UQCRB	3	96230934,96231614,96230686	5243,106,65	90.98,1.84,1.13	89.85,1.57,1.19	86.7,2.61,1.94	-3.15,1.04,0.75	0.101418688449599	no change
ENSG00000106683.15	ENSG00000106683	0.0372325043377675	0.671137385476939	Last_exon_tandem_APA	chr7	+	LIMK1	3	74122521,74122370,74099769	540,10,7	93.59,1.73,1.21	92.76,0.66,1.97	94.51,2.93,0.37	1.75,2.27,-1.6	0.699428527146146	no change
ENSG00000140350.15	ENSG00000140350	0.139137676325344	1.64556146486916e-11	Last_exon_tandem_APA	chr15	-	ANP32A	3	68778906,68779872,68778534	1144,1083,430	40.38,38.23,15.18	40.23,39.85,12.1	41.79,30.89,21.3	1.56,-8.96,9.2	6.79284753319155e-10	longer
ENSG00000185236.12	ENSG00000185236	0.0593216615522652	0.0405414060254833	Last_exon_tandem_APA	chr19	+	RAB11B	2	8404434,8404329	1220,661	64.24,34.81	61.87,22.03	64.94,25.68	3.07,3.65	0.113796666507587	no change
ENSG00000189241.8	ENSG00000189241	0.0705006889453326	0.0931237549090047	Mixed_APA	chr6	-	TSPYL1	3	116276725,116276580,116274857	807,159,15	79.98,15.76,1.49	82.47,7.99,0.77	76.81,13.04,1.93	-5.66,5.05,1.16	0.200771602881201	no change
ENSG00000132670.21	ENSG00000132670	0.0696386946386947	0.165412438064555	Last_exon_tandem_APA	chr20	+	PTPRA	4	3038669,3038359,3039074,3038306	599,236,18,13	67.45,26.58,2.03,1.46	59.09,25.76,1.52,1.14	65.38,22.6,2.24,1.6	6.29,-3.16,0.72,0.46	0.290374045991173	no change
ENSG00000148672.10	ENSG00000148672	-0.0432200292397661	0.386416048827029	Last_exon_tandem_APA	chr10	-	GLUD1	3	87050485,87051480,87051158	941,35,28	91.18,3.39,2.71	89.24,3.3,2.43	87.72,3.51,3.07	-1.52,0.21,0.64	0.490182974823011	no change
ENSG00000237649.8	ENSG00000237649	0.139182361047313	0.0411580351634824	Last_exon_tandem_APA	chr6	+	KIFC1	3	33409896,33408333,33408157	378,14,7	89.36,3.31,1.65	55.31,3.54,1.93	55.36,2.68,0.89	0.05,-0.86,-1.04	0.115042068906888	no change
ENSG00000198899.2	ENSG00000198899	-0.0294819968452926	2.02353879419359e-06	Last_exon_tandem_APA	chrM	+	MT-ATP6	2	9207,9991	28810,365	95.2,1.21	89.43,1.37	90.94,1.19	1.51,-0.18	2.91646029550911e-05	no change
ENSG00000074356.17	ENSG00000074356	0.191923076923077	0.000117497028195079	Mixed_APA	chr17	-	NCBP3	9	3806747,3812146,3811707,3811522,3812246,3839107,3802157,3806778,3822503	111,108,66,58,38,27,25,7,6	21.85,21.26,12.99,11.42,7.48,5.31,4.92,1.38,1.18	17.79,25,10.1,11.54,12.98,7.69,5.29,1.92,1.92	27.33,18.67,16.67,11.33,5.67,4.33,6,3,1	9.54,-6.33,6.57,-0.21,-7.31,-3.36,0.71,1.08,-0.92	0.00106695838216702	longer
