gene_id	chrom	strand	gene_name	PAS	~/Desktop/KSAPA/WT_D0_dRNA.no_sec.isoquant/OUT/	~/Desktop/KSAPA/WT_D7_dRNA_4.isoquant/
ENSG00000001630.18	chr7	-	CYP51A1	92113254	2	2.06
ENSG00000001630.18	chr7	-	CYP51A1	92113475	2	1.21
ENSG00000001631.17	chr7	-	KRIT1	92200013	62.62	59.49
ENSG00000001631.17	chr7	-	KRIT1	92199412	14.95	13.92
ENSG00000001631.17	chr7	-	KRIT1	92200084	8.41	3.8
ENSG00000001631.17	chr7	-	KRIT1	92199252	4.67	1.27
ENSG00000001631.17	chr7	-	KRIT1	92200340	3.74	1.27
ENSG00000002016.18	chr12	-	RAD52	911024	25.64	42.42
ENSG00000002016.18	chr12	-	RAD52	912088	20.51	18.18
ENSG00000002016.18	chr12	-	RAD52	912503	15.38	12.12
ENSG00000002016.18	chr12	-	RAD52	912825	12.82	9.09
ENSG00000002016.18	chr12	-	RAD52	910829	2.56	6.06
ENSG00000002016.18	chr12	-	RAD52	910869	2.56	6.06
ENSG00000002330.14	chr11	-	BAD	64269833	96.48	98.64
ENSG00000002549.13	chr4	+	LAP3	17607968	91.41	92.25
ENSG00000002549.13	chr4	+	LAP3	17607841	3.91	1.55
ENSG00000002549.13	chr4	+	LAP3	17607681	1.04	1.16
ENSG00000002586.20	chrX	+	CD99	2741309	63.89	66.91
ENSG00000002586.20	chrX	+	CD99	2741230	27.98	26.9
ENSG00000002746.15	chr7	+	HECW1	43562179	50	33.33
ENSG00000002746.15	chr7	+	HECW1	43566001	0	38.76
ENSG00000002746.15	chr7	+	HECW1	43562276	0	6.2
ENSG00000002746.15	chr7	+	HECW1	43566107	0	3.88
ENSG00000002746.15	chr7	+	HECW1	43562235	0	3.1
ENSG00000002746.15	chr7	+	HECW1	43484615	18.75	0
ENSG00000002822.16	chr7	-	MAD1L1	1815794	90.4	92.73
ENSG00000002834.18	chr17	+	LASP1	38921767	95.4	96.94
ENSG00000002919.15	chr17	+	SNX11	48122745	92.13	91.15
ENSG00000002919.15	chr17	+	SNX11	48123066	6.74	8.85
ENSG00000003056.8	chr12	-	M6PR	8940364	69.7	89.93
ENSG00000003056.8	chr12	-	M6PR	8941430	7.31	4.89
ENSG00000003056.8	chr12	-	M6PR	8940682	1.49	0
ENSG00000003056.8	chr12	-	M6PR	8941640	2.84	0.89
ENSG00000003096.15	chrX	-	KLHL13	117897812	93.55	91.33
ENSG00000003096.15	chrX	-	KLHL13	117894865	0	1.78
ENSG00000003096.15	chrX	-	KLHL13	117894639	0	1.56
ENSG00000003147.19	chr7	-	ICA1	8113774	79.25	51.79
ENSG00000003147.19	chr7	-	ICA1	8113183	13.21	39.29
ENSG00000003249.15	chr16	-	DBNDD1	90004870	98.06	97.37
ENSG00000003393.16	chr2	-	ALS2	201700552	75.49	78.67
ENSG00000003393.16	chr2	-	ALS2	201759451	11.76	11.37
ENSG00000003393.16	chr2	-	ALS2	201721992	1.96	1.9
ENSG00000003393.16	chr2	-	ALS2	201779988	1.96	0.95
ENSG00000003402.21	chr2	+	CFLAR	201141596	51.72	26.23
ENSG00000003402.21	chr2	+	CFLAR	201172675	10.34	19.67
ENSG00000003402.21	chr2	+	CFLAR	201167554	10.34	8.2
ENSG00000003402.21	chr2	+	CFLAR	201119177	0	8.2
ENSG00000003402.21	chr2	+	CFLAR	201168274	3.45	4.92
ENSG00000003402.21	chr2	+	CFLAR	201171736	0	6.56
ENSG00000003402.21	chr2	+	CFLAR	201164302	3.45	3.28
ENSG00000003436.16	chr2	-	TFPI	187464229	33.33	58.31
ENSG00000003436.16	chr2	-	TFPI	187466797	11.11	21.64
ENSG00000003436.16	chr2	-	TFPI	187478577	0	5.01
ENSG00000003436.16	chr2	-	TFPI	187464347	0	1.58
ENSG00000003436.16	chr2	-	TFPI	187466538	0	1.58
ENSG00000003436.16	chr2	-	TFPI	187529174	0	1.32
ENSG00000003509.16	chr2	+	NDUFAF7	37249160	33.49	42.2
ENSG00000003509.16	chr2	+	NDUFAF7	37248435	39.91	25.69
ENSG00000003509.16	chr2	+	NDUFAF7	37253403	14.22	21.1
ENSG00000003509.16	chr2	+	NDUFAF7	37253544	5.5	6.42
ENSG00000003756.17	chr3	+	RBM5	50118960	93.53	97.38
ENSG00000003987.14	chr8	-	MTMR7	17296796	23.08	36.52
ENSG00000003987.14	chr8	-	MTMR7	17298036	23.08	18.26
ENSG00000003987.14	chr8	-	MTMR7	17298193	11.54	18.26
ENSG00000003987.14	chr8	-	MTMR7	17294948	3.85	5.22
ENSG00000003987.14	chr8	-	MTMR7	17298618	3.85	2.61
ENSG00000003987.14	chr8	-	MTMR7	17298320	3.85	1.74
ENSG00000003989.18	chr8	+	SLC7A2	17570516	95.31	90.32
ENSG00000004059.11	chr7	+	ARF5	127591700	96.33	97.05
ENSG00000004139.14	chr17	+	SARM1	28398164	75.38	61.69
ENSG00000004139.14	chr17	+	SARM1	28401045	9.23	20.31
ENSG00000004139.14	chr17	+	SARM1	28404049	3.08	6.51
ENSG00000004139.14	chr17	+	SARM1	28398679	4.62	0.77
ENSG00000004142.12	chr17	-	POLDIP2	28347183	70.38	70.83
ENSG00000004142.12	chr17	-	POLDIP2	28347791	12.12	12.75
ENSG00000004142.12	chr17	-	POLDIP2	28346632	6.54	6.86
ENSG00000004142.12	chr17	-	POLDIP2	28346788	1.92	0.49
ENSG00000004399.13	chr3	-	PLXND1	129555219	76.19	84.42
ENSG00000004399.13	chr3	-	PLXND1	129555525	9.52	8.8
ENSG00000004399.13	chr3	-	PLXND1	129569173	9.52	1.35
ENSG00000004399.13	chr3	-	PLXND1	129568465	0	1.35
ENSG00000004455.18	chr1	-	AK2	33013043	48.43	36.76
ENSG00000004455.18	chr1	-	AK2	33009921	35.68	43.75
ENSG00000004455.18	chr1	-	AK2	33008882	5.25	8.46
ENSG00000004455.18	chr1	-	AK2	33010077	3.15	3.31
ENSG00000004455.18	chr1	-	AK2	33007985	1.95	5.15
ENSG00000004478.8	chr12	+	FKBP4	2803942	85.95	92.32
ENSG00000004478.8	chr12	+	FKBP4	2803353	10.51	5.28
ENSG00000004487.18	chr1	+	KDM1A	23083689	94.83	95.97
ENSG00000004534.15	chr3	+	RBM6	50077249	96.33	94.27
ENSG00000004534.15	chr3	+	RBM6	50077145	0.92	0
ENSG00000004660.15	chr17	-	CAMKK1	3860314	100	91.67
ENSG00000004700.16	chr12	-	RECQL	21468909	78.49	75.73
ENSG00000004700.16	chr12	-	RECQL	21470147	9.88	9.22
ENSG00000004700.16	chr12	-	RECQL	21468812	2.91	4.85
ENSG00000004700.16	chr12	-	RECQL	21469929	1.74	1.46
ENSG00000004700.16	chr12	-	RECQL	21468974	1.16	0.97
ENSG00000004766.17	chr7	+	VPS50	93359026	59.18	79.66
ENSG00000004766.17	chr7	+	VPS50	93359529	6.12	5.93
ENSG00000004766.17	chr7	+	VPS50	93358897	6.12	4.24
ENSG00000004766.17	chr7	+	VPS50	93359246	8.16	0.85
ENSG00000004766.17	chr7	+	VPS50	93360903	0	3.39
ENSG00000004766.17	chr7	+	VPS50	93321055	4.08	0.85
ENSG00000004777.19	chr19	+	ARHGAP33	35788822	98.13	96.47
ENSG00000004779.10	chr16	-	NDUFAB1	23581013	94.59	95.59
ENSG00000004864.14	chr7	-	SLC25A13	96120219	47.91	58.31
ENSG00000004864.14	chr7	-	SLC25A13	96120414	47.37	37.99
ENSG00000004866.22	chr7	+	ST7	117230103	49.12	64.92
ENSG00000004866.22	chr7	+	ST7	117230176	7.02	15.18
ENSG00000004866.22	chr7	+	ST7	117223911	31.58	6.54
ENSG00000004866.22	chr7	+	ST7	117230023	7.89	11.26
ENSG00000004897.12	chr17	-	CDC27	47117943	20.25	26.38
ENSG00000004897.12	chr17	-	CDC27	47120440	25.62	19.69
ENSG00000004897.12	chr17	-	CDC27	47118196	15.29	20.08
ENSG00000004897.12	chr17	-	CDC27	47117705	7.44	14.96
ENSG00000004897.12	chr17	-	CDC27	47119199	7.44	2.36
ENSG00000004897.12	chr17	-	CDC27	47120254	4.55	4.72
ENSG00000004897.12	chr17	-	CDC27	47120202	5.37	3.15
ENSG00000004897.12	chr17	-	CDC27	47119424	2.48	1.97
ENSG00000004897.12	chr17	-	CDC27	47120584	1.24	0.79
ENSG00000004961.15	chrX	+	HCCS	11123075	42.99	55.77
ENSG00000004961.15	chrX	+	HCCS	11121879	52.94	40.38
ENSG00000004961.15	chrX	+	HCCS	11122918	1.36	1.92
ENSG00000004975.12	chr17	-	DVL2	7225341	95.19	95.18
ENSG00000005007.14	chr19	+	UPF1	18868230	88.62	95.73
ENSG00000005007.14	chr19	+	UPF1	18866621	3.45	1.28
ENSG00000005020.13	chr7	-	SKAP2	26667067	90.91	85.19
ENSG00000005022.6	chrX	+	SLC25A5	119471319	95.74	97.34
ENSG00000005059.16	chr4	+	MCUB	109687716	68.07	76.92
ENSG00000005059.16	chr4	+	MCUB	109688645	9.24	11.54
ENSG00000005059.16	chr4	+	MCUB	109688724	5.88	6.41
ENSG00000005059.16	chr4	+	MCUB	109688794	4.2	1.28
ENSG00000005075.16	chr7	-	POLR2J	102473456	92.28	89.97
ENSG00000005075.16	chr7	-	POLR2J	102473127	3.74	6.02
ENSG00000005100.13	chr17	-	DHX33	5440916	91.75	94.35
ENSG00000005108.17	chr7	-	THSD7A	11370434	25	83.29
ENSG00000005108.17	chr7	-	THSD7A	11370364	12.5	5.1
ENSG00000005108.17	chr7	-	THSD7A	11374552	0	3.97
ENSG00000005108.17	chr7	-	THSD7A	11445032	37.5	0.28
ENSG00000005156.12	chr17	+	LIG3	35004805	39.81	37.86
ENSG00000005156.12	chr17	+	LIG3	35005064	25.71	23.3
ENSG00000005156.12	chr17	+	LIG3	35009600	10.34	14.56
ENSG00000005156.12	chr17	+	LIG3	35004175	5.33	2.91
ENSG00000005156.12	chr17	+	LIG3	35009245	2.19	5.83
ENSG00000005156.12	chr17	+	LIG3	35004959	2.82	2.91
ENSG00000005156.12	chr17	+	LIG3	35004725	2.82	0
ENSG00000005156.12	chr17	+	LIG3	35003134	2.19	0
ENSG00000005175.10	chr12	-	RPAP3	47663290	62.45	48
ENSG00000005175.10	chr12	-	RPAP3	47661935	11.84	12.44
ENSG00000005175.10	chr12	-	RPAP3	47660625	4.9	16
ENSG00000005175.10	chr12	-	RPAP3	47699679	2.86	5.78
ENSG00000005175.10	chr12	-	RPAP3	47662251	3.27	3.56
ENSG00000005175.10	chr12	-	RPAP3	47661251	1.63	1.33
ENSG00000005175.10	chr12	-	RPAP3	47699532	0.82	2.22
ENSG00000005175.10	chr12	-	RPAP3	47662302	0.41	2.22
ENSG00000005189.20	chr16	+	REXO5	20849665	100	90.48
ENSG00000005194.15	chr16	-	CIAPIN1	57428551	70.22	67.22
ENSG00000005194.15	chr16	-	CIAPIN1	57428188	25.96	29.78
ENSG00000005206.17	chr19	+	SPPL2B	2353928	64.03	64.84
ENSG00000005206.17	chr19	+	SPPL2B	2354800	25.9	27.47
ENSG00000005238.20	chr9	-	ATOSB	35104120	100	96.11
ENSG00000005249.14	chr7	+	PRKAR2B	107161503	70	66.19
ENSG00000005249.14	chr7	+	PRKAR2B	107161811	11.76	18.02
ENSG00000005249.14	chr7	+	PRKAR2B	107161427	9.41	10.53
ENSG00000005302.19	chrX	+	MSL3	11775750	74.12	85.94
ENSG00000005302.19	chrX	+	MSL3	11767977	11.76	6.25
ENSG00000005302.19	chrX	+	MSL3	11769102	3.53	2.34
ENSG00000005339.15	chr16	-	CREBBP	3726815	41.05	41.38
ENSG00000005339.15	chr16	-	CREBBP	3726650	26.2	17.24
ENSG00000005339.15	chr16	-	CREBBP	3725065	10.92	24.14
ENSG00000005339.15	chr16	-	CREBBP	3726595	5.68	4.98
ENSG00000005379.17	chr17	-	TSPOAP1	58301230	66.67	80
ENSG00000005379.17	chr17	-	TSPOAP1	58307219	26.67	12.73
ENSG00000005379.17	chr17	-	TSPOAP1	58317810	6.67	3.64
ENSG00000005436.14	chr2	-	GCFC2	75664432	25.81	21.59
ENSG00000005436.14	chr2	-	GCFC2	75701795	18.55	23.86
ENSG00000005436.14	chr2	-	GCFC2	75662704	18.55	10.23
ENSG00000005436.14	chr2	-	GCFC2	75664639	12.9	13.64
ENSG00000005436.14	chr2	-	GCFC2	75662654	1.61	3.41
ENSG00000005436.14	chr2	-	GCFC2	75662831	3.23	0
ENSG00000005436.14	chr2	-	GCFC2	75672696	0	3.41
ENSG00000005448.17	chr2	+	WDR54	74425755	93.85	93.79
ENSG00000005469.12	chr7	+	CROT	87399793	36	49.33
ENSG00000005469.12	chr7	+	CROT	87360054	24	17.33
ENSG00000005469.12	chr7	+	CROT	87359406	20	6.67
ENSG00000005469.12	chr7	+	CROT	87398471	0	9.33
ENSG00000005469.12	chr7	+	CROT	87399638	0	5.33
ENSG00000005469.12	chr7	+	CROT	87360109	8	1.33
ENSG00000005469.12	chr7	+	CROT	87397439	0	4
ENSG00000005483.23	chr7	+	KMT2E	105114085	55.56	60.85
ENSG00000005483.23	chr7	+	KMT2E	105115019	5.56	7.55
ENSG00000005483.23	chr7	+	KMT2E	105102649	7.14	4.25
ENSG00000005483.23	chr7	+	KMT2E	105113454	4.76	1.42
ENSG00000005483.23	chr7	+	KMT2E	105102486	4.76	0.47
ENSG00000005483.23	chr7	+	KMT2E	105091608	1.59	1.89
ENSG00000005483.23	chr7	+	KMT2E	105116244	0.79	2.36
ENSG00000005483.23	chr7	+	KMT2E	105113766	1.59	1.42
ENSG00000005486.17	chr7	+	RHBDD2	75888921	95.89	96.95
ENSG00000005513.10	chr16	+	SOX8	986979	93.1	92.86
ENSG00000005513.10	chr16	+	SOX8	986036	3.45	4.76
ENSG00000005700.15	chr6	-	IBTK	82170237	88.06	89.35
ENSG00000005700.15	chr6	-	IBTK	82169986	4.48	5.92
ENSG00000005801.18	chr11	-	ZNF195	3358385	40.1	39.3
ENSG00000005801.18	chr11	-	ZNF195	3358562	23.15	26.2
ENSG00000005801.18	chr11	-	ZNF195	3357926	8.11	17.89
ENSG00000005801.18	chr11	-	ZNF195	3360332	7.88	1.92
ENSG00000005801.18	chr11	-	ZNF195	3359093	5.01	3.83
ENSG00000005801.18	chr11	-	ZNF195	3359016	3.34	1.92
ENSG00000005810.20	chr13	-	MYCBP2	77044656	91.43	91.12
ENSG00000005810.20	chr13	-	MYCBP2	77044792	0	3.62
ENSG00000005812.11	chr13	-	FBXL3	77005261	67.42	73.21
ENSG00000005812.11	chr13	-	FBXL3	77006249	7.87	4.76
ENSG00000005812.11	chr13	-	FBXL3	77000746	6.74	2.38
ENSG00000005812.11	chr13	-	FBXL3	77005911	2.25	3.57
ENSG00000005812.11	chr13	-	FBXL3	76999141	3.37	2.38
ENSG00000005812.11	chr13	-	FBXL3	76999211	0	4.17
ENSG00000005812.11	chr13	-	FBXL3	77007079	6.74	0
ENSG00000005812.11	chr13	-	FBXL3	76992598	0	1.79
ENSG00000005882.12	chr17	+	PDK2	50111059	49.07	48.1
ENSG00000005882.12	chr17	+	PDK2	50111369	21.3	10.76
ENSG00000005882.12	chr17	+	PDK2	50106368	11.11	20.25
ENSG00000005882.12	chr17	+	PDK2	50106256	9.26	14.56
ENSG00000005884.18	chr17	+	ITGA3	50090481	95.24	94.44
ENSG00000005884.18	chr17	+	ITGA3	50090934	4.76	1.55
ENSG00000005889.16	chrX	+	ZFX	24214405	32.86	45.8
ENSG00000005889.16	chrX	+	ZFX	24214508	28.57	22.14
ENSG00000005889.16	chrX	+	ZFX	24216085	26.43	21.37
ENSG00000005889.16	chrX	+	ZFX	24211639	2.86	2.29
ENSG00000005889.16	chrX	+	ZFX	24214318	3.57	2.29
ENSG00000005893.17	chrX	-	LAMP2	120436493	35.14	31.95
ENSG00000005893.17	chrX	-	LAMP2	120431141	24.77	16.41
ENSG00000005893.17	chrX	-	LAMP2	120426147	6.31	22.8
ENSG00000005893.17	chrX	-	LAMP2	120430939	21.62	15.72
ENSG00000005893.17	chrX	-	LAMP2	120426221	0.9	3.97
ENSG00000005893.17	chrX	-	LAMP2	120436825	2.25	3.11
ENSG00000005893.17	chrX	-	LAMP2	120438557	3.15	0.69
ENSG00000005961.19	chr17	-	ITGA2B	44372180	86.96	100
ENSG00000005961.19	chr17	-	ITGA2B	44372208	13.04	0
ENSG00000006007.12	chr16	-	GDE1	19502989	44.51	41.63
ENSG00000006007.12	chr16	-	GDE1	19501688	32.93	36.7
ENSG00000006007.12	chr16	-	GDE1	19502022	17.68	18.88
ENSG00000006015.18	chr19	+	REX1BD	18592337	96.95	96.33
ENSG00000006016.12	chr19	-	CRLF1	18593236	92.86	91.67
ENSG00000006025.12	chr17	-	OSBPL7	47807371	80	100
ENSG00000006042.12	chr17	+	TMEM98	32941649	94.23	94.88
ENSG00000006047.13	chr17	-	YBX2	7288262	95.9	91.67
ENSG00000006062.18	chr17	-	MAP3K14	45263127	100	97.01
ENSG00000006118.15	chr11	+	TMEM132A	60937157	94.81	95.41
ENSG00000006125.18	chr17	+	AP2B1	35726413	62.17	80.21
ENSG00000006125.18	chr17	+	AP2B1	35724089	28.7	13.56
ENSG00000006125.18	chr17	+	AP2B1	35660120	3.04	0.55
ENSG00000006128.12	chr7	+	TAC1	97740472	92.31	97.36
ENSG00000006194.11	chr16	+	ZNF263	3291460	74.19	81.1
ENSG00000006194.11	chr16	+	ZNF263	3286885	7.26	6.3
ENSG00000006194.11	chr16	+	ZNF263	3301401	3.23	4.72
ENSG00000006210.7	chr16	+	CX3CL1	57385044	93.75	90
ENSG00000006282.21	chr17	+	SPATA20	50555852	91.67	90.14
ENSG00000006283.18	chr17	+	CACNA1G	50627072	23.53	85.71
ENSG00000006283.18	chr17	+	CACNA1G	50573674	47.06	14.29
ENSG00000006283.18	chr17	+	CACNA1G	50605463	17.65	0
ENSG00000006327.14	chr16	+	TNFRSF12A	3022383	89.41	93.33
ENSG00000006432.16	chr14	-	MAP3K9	70722525	88.52	98.81
ENSG00000006432.16	chr14	-	MAP3K9	70729653	6.56	0
ENSG00000006451.8	chr7	+	RALA	39708120	68.35	77.8
ENSG00000006451.8	chr7	+	RALA	39706302	26.79	16.7
ENSG00000006451.8	chr7	+	RALA	39706619	1.48	0.98
ENSG00000006453.14	chr7	-	BAIAP2L1	98293242	51.32	78.57
ENSG00000006453.14	chr7	-	BAIAP2L1	98291651	38.62	7.14
ENSG00000006453.14	chr7	-	BAIAP2L1	98293315	2.12	3.57
ENSG00000006453.14	chr7	-	BAIAP2L1	98291704	2.12	0
ENSG00000006453.14	chr7	-	BAIAP2L1	98293008	2.12	0
ENSG00000006459.11	chr7	-	KDM7A	140084854	37.21	33.93
ENSG00000006459.11	chr7	-	KDM7A	140084745	13.95	35.71
ENSG00000006459.11	chr7	-	KDM7A	140090215	25.58	12.5
ENSG00000006459.11	chr7	-	KDM7A	140084678	9.3	8.93
ENSG00000006468.15	chr7	-	ETV1	13893269	57.84	53.44
ENSG00000006468.15	chr7	-	ETV1	13891228	9.25	19.08
ENSG00000006468.15	chr7	-	ETV1	13894377	6.17	3.05
ENSG00000006468.15	chr7	-	ETV1	13900366	4.37	5.34
ENSG00000006468.15	chr7	-	ETV1	13893030	3.86	6.11
ENSG00000006468.15	chr7	-	ETV1	13894764	4.63	0
ENSG00000006468.15	chr7	-	ETV1	13894115	2.57	1.53
ENSG00000006530.18	chr7	+	AGK	141653900	48.12	42.86
ENSG00000006530.18	chr7	+	AGK	141654143	15.79	15.71
ENSG00000006530.18	chr7	+	AGK	141654265	9.02	13.57
ENSG00000006530.18	chr7	+	AGK	141653994	7.52	7.86
ENSG00000006530.18	chr7	+	AGK	141654404	5.26	7.14
ENSG00000006530.18	chr7	+	AGK	141655244	2.26	4.29
ENSG00000006530.18	chr7	+	AGK	141650596	3.76	0.71
ENSG00000006576.17	chr7	+	PHTF2	77957225	70.79	73.33
ENSG00000006576.17	chr7	+	PHTF2	77940459	8.99	7.22
ENSG00000006576.17	chr7	+	PHTF2	77957500	5.62	6.11
ENSG00000006576.17	chr7	+	PHTF2	77940373	5.62	3.89
ENSG00000006576.17	chr7	+	PHTF2	77938206	3.37	2.22
ENSG00000006576.17	chr7	+	PHTF2	77924183	1.12	2.78
ENSG00000006607.14	chr2	+	FARP2	241447141	60	58.23
ENSG00000006607.14	chr2	+	FARP2	241494841	22	25.32
ENSG00000006607.14	chr2	+	FARP2	241397357	8	3.8
ENSG00000006607.14	chr2	+	FARP2	241466030	4	2.53
ENSG00000006625.18	chr7	-	GGCT	30496620	95.05	97.54
ENSG00000006634.8	chr7	+	DBF4	87908376	73.54	72.17
ENSG00000006634.8	chr7	+	DBF4	87909553	1.95	5.22
ENSG00000006652.15	chr7	+	IFRD1	112476192	66.38	74.07
ENSG00000006652.15	chr7	+	IFRD1	112475729	26.15	19.39
ENSG00000006652.15	chr7	+	IFRD1	112477187	4.31	3.92
ENSG00000006695.12	chr17	+	COX10	14208677	79.05	83.33
ENSG00000006695.12	chr17	+	COX10	14077322	7.62	2.78
ENSG00000006695.12	chr17	+	COX10	14182308	3.81	0
ENSG00000006695.12	chr17	+	COX10	14207340	2.86	1.39
ENSG00000006695.12	chr17	+	COX10	14208868	0.95	4.17
ENSG00000006695.12	chr17	+	COX10	14217920	1.9	2.78
ENSG00000006704.11	chr7	+	GTF2IRD1	74602605	90.76	95.58
ENSG00000006712.15	chr19	-	PAF1	39385851	93.09	96.7
ENSG00000006712.15	chr19	-	PAF1	39385628	2.76	0.73
ENSG00000006715.16	chr7	-	VPS41	38725553	43.67	48.56
ENSG00000006715.16	chr7	-	VPS41	38722973	23.42	27.8
ENSG00000006715.16	chr7	-	VPS41	38723982	18.99	12.14
ENSG00000006715.16	chr7	-	VPS41	38725144	1.9	1.92
ENSG00000006715.16	chr7	-	VPS41	38722271	1.27	0.96
ENSG00000006715.16	chr7	-	VPS41	38722794	1.27	1.28
ENSG00000006715.16	chr7	-	VPS41	38723937	0	1.92
ENSG00000006740.18	chr17	+	ARHGAP44	12991643	79.41	91.18
ENSG00000006740.18	chr17	+	ARHGAP44	12959047	5.88	0
ENSG00000006740.18	chr17	+	ARHGAP44	12987840	2.94	2.94
ENSG00000006744.19	chr17	-	ELAC2	12992390	92.52	91.18
ENSG00000006744.19	chr17	-	ELAC2	12991611	2.56	3.27
ENSG00000006744.19	chr17	-	ELAC2	12991269	1.5	1.51
ENSG00000006744.19	chr17	-	ELAC2	12991852	0.64	2.27
ENSG00000006756.16	chrX	-	ARSD	2903975	68.75	63.91
ENSG00000006756.16	chrX	-	ARSD	2905668	12.5	9.77
ENSG00000006756.16	chrX	-	ARSD	2920366	6.25	6.77
ENSG00000006756.16	chrX	-	ARSD	2914205	6.25	4.51
ENSG00000006756.16	chrX	-	ARSD	2912642	0	2.26
ENSG00000006831.10	chr12	+	ADIPOR2	1788674	88.53	92.89
ENSG00000006831.10	chr12	+	ADIPOR2	1786263	5.05	2.22
ENSG00000006837.12	chr5	-	CDKL3	134308000	23.08	37.04
ENSG00000006837.12	chr5	-	CDKL3	134307878	0	29.63
ENSG00000006837.12	chr5	-	CDKL3	134298423	23.08	7.41
ENSG00000006837.12	chr5	-	CDKL3	134366580	7.69	14.81
ENSG00000006837.12	chr5	-	CDKL3	134370631	30.77	0
ENSG00000007047.16	chr19	+	MARK4	45303671	65.96	75.84
ENSG00000007047.16	chr19	+	MARK4	45303371	14.89	10.78
ENSG00000007047.16	chr19	+	MARK4	45302842	4.79	1.86
ENSG00000007047.16	chr19	+	MARK4	45303440	1.6	1.12
ENSG00000007062.12	chr4	-	PROM1	15968229	96.42	94.05
ENSG00000007080.11	chr19	+	CCDC124	17943985	97.27	95.01
ENSG00000007168.14	chr17	+	PAFAH1B1	2685615	36.95	59.31
ENSG00000007168.14	chr17	+	PAFAH1B1	2681910	34.15	14.71
