gene_id	chrom	strand	gene_name	PAS	D0_1 reads	D0_1 PAU	D0_1 host gene reads	D0_2 reads	D0_2 PAU	D0_2 host gene reads	D0_3 reads	D0_3 PAU	D0_3 host gene reads	D7_1 reads	D7_1 PAU	D7_1 host gene reads	D7_2 reads	D7_2 PAU	D7_2 host gene reads	D7_3 reads	D7_3 PAU	D7_3 host gene reads
ENSG00000142207.7	chr21	-	URB1	32314154	13	9.353	139	4	6.154	65	17	12.879	132	2	6.061	33	5	6.329	79	5	11.628	43
ENSG00000154639.19	chr21	+	CXADR	17567760	50	6.196	807	26	7.365	353	39	5.744	679	10	3.268	306	16	1.743	918	7	1.464	478
ENSG00000154639.19	chr21	+	CXADR	17570098	679	84.139	807	295	83.569	353	563	82.916	679	282	92.157	306	864	94.118	918	449	93.933	478
ENSG00000154639.19	chr21	+	CXADR	17593910	18	2.23	807	8	2.266	353	13	1.915	679	2	0.654	306	10	1.089	918	5	1.046	478
ENSG00000154640.15	chr21	-	BTG3	17593653	105	96.33	109	51	98.077	52	88	96.703	91	68	95.775	71	160	97.561	164	64	96.97	66
ENSG00000154642.11	chr21	-	C21orf91	17788974	83	66.935	124	27	55.102	49	54	65.854	82	18	81.818	22	40	76.923	52	33	86.842	38
ENSG00000154642.11	chr21	-	C21orf91	17789742	0	0	124	1	2.041	49	3	3.659	82	0	0	22	1	1.923	52	0	0	38
ENSG00000154642.11	chr21	-	C21orf91	17792804	8	6.452	124	4	8.163	49	5	6.098	82	1	4.545	22	3	5.769	52	1	2.632	38
ENSG00000154642.11	chr21	-	C21orf91	17793252	26	20.968	124	13	26.531	49	16	19.512	82	1	4.545	22	6	11.538	52	1	2.632	38
ENSG00000154719.14	chr21	-	MRPL39	25585656	414	97.872	423	166	98.225	169	308	97.468	316	87	98.864	88	156	98.113	159	77	97.468	79
ENSG00000154721.15	chr21	+	JAM2	25714524	2	5.556	36	3	21.429	14	0	0	38	0	0	19	1	3.125	32	0	0	14
ENSG00000154721.15	chr21	+	JAM2	25714739	19	52.778	36	6	42.857	14	17	44.737	38	9	47.368	19	14	43.75	32	6	42.857	14
ENSG00000154721.15	chr21	+	JAM2	25714923	5	13.889	36	1	7.143	14	6	15.789	38	3	15.789	19	3	9.375	32	2	14.286	14
ENSG00000154721.15	chr21	+	JAM2	25717224	5	13.889	36	3	21.429	14	3	7.895	38	3	15.789	19	9	28.125	32	2	14.286	14
ENSG00000154721.15	chr21	+	JAM2	25717560	1	2.778	36	0	0	14	6	15.789	38	1	5.263	19	3	9.375	32	3	21.429	14
ENSG00000154723.13	chr21	-	ATP5PF	25724500	917	57.42	1597	360	54.628	659	679	58.788	1155	315	62.624	503	786	66.385	1184	324	62.548	518
ENSG00000154723.13	chr21	-	ATP5PF	25724553	672	42.079	1597	292	44.31	659	464	40.173	1155	184	36.581	503	389	32.855	1184	191	36.873	518
ENSG00000154727.11	chr21	+	GABPA	25769384	2	2.105	95	3	4.688	64	4	4.494	89	1	4.167	24	0	0	50	1	4	25
ENSG00000154727.11	chr21	+	GABPA	25769586	1	1.053	95	2	3.125	64	2	2.247	89	1	4.167	24	2	4	50	1	4	25
ENSG00000154727.11	chr21	+	GABPA	25769746	4	4.211	95	0	0	64	2	2.247	89	0	0	24	0	0	50	0	0	25
ENSG00000154727.11	chr21	+	GABPA	25769988	4	4.211	95	2	3.125	64	4	4.494	89	0	0	24	0	0	50	2	8	25
ENSG00000154727.11	chr21	+	GABPA	25770067	6	6.316	95	5	7.812	64	5	5.618	89	1	4.167	24	5	10	50	0	0	25
ENSG00000154727.11	chr21	+	GABPA	25772460	77	81.053	95	50	78.125	64	69	77.528	89	21	87.5	24	42	84	50	21	84	25
ENSG00000154734.16	chr21	-	ADAMTS1	26836287	15	68.182	22	11	84.615	13	12	66.667	18	11	73.333	15	40	86.957	46	24	80	30
ENSG00000154734.16	chr21	-	ADAMTS1	26836413	3	13.636	22	1	7.692	13	5	27.778	18	1	6.667	15	1	2.174	46	0	0	30
ENSG00000154734.16	chr21	-	ADAMTS1	26837011	2	9.091	22	0	0	13	1	5.556	18	2	13.333	15	1	2.174	46	3	10	30
ENSG00000155304.6	chr21	-	HSPA13	14371115	172	81.132	212	88	75.214	117	130	72.626	179	172	84.729	203	440	89.069	494	194	85.463	227
ENSG00000155304.6	chr21	-	HSPA13	14372798	30	14.151	212	27	23.077	117	43	24.022	179	22	10.837	203	37	7.49	494	23	10.132	227
ENSG00000155313.16	chr21	+	USP25	15878666	5	3.425	146	2	3.636	55	1	0.752	133	0	0	21	0	0	61	0	0	43
ENSG00000155313.16	chr21	+	USP25	15878907	89	60.959	146	37	67.273	55	86	64.662	133	15	71.429	21	37	60.656	61	23	53.488	43
ENSG00000155313.16	chr21	+	USP25	15879712	31	21.233	146	11	20	55	34	25.564	133	2	9.524	21	15	24.59	61	12	27.907	43
ENSG00000155313.16	chr21	+	USP25	15880001	2	1.37	146	0	0	55	1	0.752	133	0	0	21	2	3.279	61	0	0	43
ENSG00000155313.16	chr21	+	USP25	15880064	15	10.274	146	3	5.455	55	8	6.015	133	4	19.048	21	7	11.475	61	3	6.977	43
ENSG00000156239.12	chr21	-	N6AMT1	28871223	3	6.25	48	1	5.556	18	0	0	31	1	5.556	18	1	2.326	43	0	0	18
ENSG00000156239.12	chr21	-	N6AMT1	28872191	9	18.75	48	4	22.222	18	9	29.032	31	3	16.667	18	17	39.535	43	9	50	18
ENSG00000156239.12	chr21	-	N6AMT1	28873256	3	6.25	48	1	5.556	18	1	3.226	31	1	5.556	18	1	2.326	43	0	0	18
ENSG00000156239.12	chr21	-	N6AMT1	28874645	8	16.667	48	5	27.778	18	7	22.581	31	4	22.222	18	4	9.302	43	4	22.222	18
ENSG00000156239.12	chr21	-	N6AMT1	28876155	22	45.833	48	4	22.222	18	12	38.71	31	7	38.889	18	18	41.86	43	4	22.222	18
ENSG00000156239.12	chr21	-	N6AMT1	28876261	1	2.083	48	1	5.556	18	1	3.226	31	2	11.111	18	2	4.651	43	0	0	18
ENSG00000156253.7	chr21	-	RWDD2B	29004778	2	3.125	64	0	0	23	1	2.564	39	3	18.75	16	6	19.355	31	0	0	12
ENSG00000156253.7	chr21	-	RWDD2B	29005759	53	82.812	64	19	82.609	23	32	82.051	39	7	43.75	16	17	54.839	31	9	75	12
ENSG00000156253.7	chr21	-	RWDD2B	29006211	7	10.938	64	2	8.696	23	2	5.128	39	2	12.5	16	3	9.677	31	1	8.333	12
ENSG00000156256.15	chr21	+	USP16	29054290	5	3.378	148	1	2.083	48	6	4.839	124	2	6.25	32	0	0	89	0	0	44
ENSG00000156256.15	chr21	+	USP16	29054488	140	94.595	148	46	95.833	48	115	92.742	124	29	90.625	32	88	98.876	89	41	93.182	44
ENSG00000156261.13	chr21	-	CCT8	29056326	2280	98.446	2316	1059	97.784	1083	1888	97.672	1933	430	98.398	437	1124	98.683	1139	493	97.239	507
ENSG00000156273.16	chr21	+	BACH1	29329693	1	1.124	89	0	0	46	1	1.266	79	1	2.439	41	3	2.83	106	1	2	50
ENSG00000156273.16	chr21	+	BACH1	29344975	2	2.247	89	0	0	46	2	2.532	79	1	2.439	41	2	1.887	106	0	0	50
ENSG00000156273.16	chr21	+	BACH1	29345842	5	5.618	89	2	4.348	46	6	7.595	79	2	4.878	41	9	8.491	106	4	8	50
ENSG00000156273.16	chr21	+	BACH1	29345903	4	4.494	89	1	2.174	46	1	1.266	79	1	2.439	41	2	1.887	106	2	4	50
ENSG00000156273.16	chr21	+	BACH1	29345989	25	28.09	89	17	36.957	46	28	35.443	79	15	36.585	41	29	27.358	106	13	26	50
ENSG00000156273.16	chr21	+	BACH1	29346148	47	52.809	89	25	54.348	46	37	46.835	79	20	48.78	41	57	53.774	106	29	58	50
ENSG00000156273.16	chr21	+	BACH1	29630751	1	1.124	89	0	0	46	1	1.266	79	1	2.439	41	2	1.887	106	1	2	50
ENSG00000156299.15	chr21	-	TIAM1	31118418	45	93.75	48	22	100	22	32	80	40	17	89.474	19	45	93.75	48	37	97.368	38
ENSG00000156299.15	chr21	-	TIAM1	31120081	1	2.083	48	0	0	22	4	10	40	1	5.263	19	3	6.25	48	0	0	38
ENSG00000156304.15	chr21	-	SCAF4	31666728	1	0.395	253	0	0	114	0	0	204	3	7.692	39	6	4.724	127	1	1.818	55
ENSG00000156304.15	chr21	-	SCAF4	31670799	3	1.186	253	1	0.877	114	4	1.961	204	0	0	39	0	0	127	1	1.818	55
ENSG00000156304.15	chr21	-	SCAF4	31671033	200	79.051	253	96	84.211	114	163	79.902	204	25	64.103	39	101	79.528	127	48	87.273	55
ENSG00000156304.15	chr21	-	SCAF4	31671183	27	10.672	253	10	8.772	114	20	9.804	204	4	10.256	39	5	3.937	127	5	9.091	55
ENSG00000156304.15	chr21	-	SCAF4	31681365	8	3.162	253	1	0.877	114	4	1.961	204	3	7.692	39	5	3.937	127	0	0	55
ENSG00000156304.15	chr21	-	SCAF4	31684010	3	1.186	253	1	0.877	114	3	1.471	204	2	5.128	39	1	0.787	127	0	0	55
ENSG00000156304.15	chr21	-	SCAF4	31684781	2	0.791	253	1	0.877	114	1	0.49	204	1	2.564	39	4	3.15	127	0	0	55
ENSG00000157538.14	chr21	-	VPS26C	37221755	3	1.351	222	2	2.062	97	5	2.404	208	1	2.273	44	7	6.604	106	4	9.091	44
ENSG00000157538.14	chr21	-	VPS26C	37223422	130	58.559	222	55	56.701	97	134	64.423	208	27	61.364	44	70	66.038	106	30	68.182	44
ENSG00000157538.14	chr21	-	VPS26C	37223679	7	3.153	222	7	7.216	97	11	5.288	208	0	0	44	3	2.83	106	1	2.273	44
ENSG00000157538.14	chr21	-	VPS26C	37225221	5	2.252	222	2	2.062	97	6	2.885	208	3	6.818	44	3	2.83	106	2	4.545	44
ENSG00000157538.14	chr21	-	VPS26C	37225284	11	4.955	222	6	6.186	97	2	0.962	208	0	0	44	3	2.83	106	1	2.273	44
ENSG00000157538.14	chr21	-	VPS26C	37225400	15	6.757	222	6	6.186	97	13	6.25	208	1	2.273	44	6	5.66	106	2	4.545	44
ENSG00000157538.14	chr21	-	VPS26C	37261082	43	19.369	222	11	11.34	97	28	13.462	208	8	18.182	44	8	7.547	106	1	2.273	44
ENSG00000157540.22	chr21	+	DYRK1A	37514759	2	2.5	80	3	5.085	59	0	0	95	0	0	10	1	2.564	39	1	2.439	41
ENSG00000157540.22	chr21	+	DYRK1A	37515170	62	77.5	80	48	81.356	59	79	83.158	95	6	60	10	20	51.282	39	27	65.854	41
ENSG00000157540.22	chr21	+	DYRK1A	37515249	4	5	80	5	8.475	59	3	3.158	95	2	20	10	8	20.513	39	2	4.878	41
ENSG00000157540.22	chr21	+	DYRK1A	37515377	9	11.25	80	2	3.39	59	11	11.579	95	0	0	10	8	20.513	39	8	19.512	41
ENSG00000157557.13	chr21	+	ETS2	38823453	13	10.656	122	8	13.333	60	19	14.844	128	4	5.556	72	17	10.494	162	12	13.043	92
ENSG00000157557.13	chr21	+	ETS2	38823734	2	1.639	122	0	0	60	3	2.344	128	0	0	72	0	0	162	1	1.087	92
ENSG00000157557.13	chr21	+	ETS2	38823801	49	40.164	122	27	45	60	57	44.531	128	28	38.889	72	62	38.272	162	34	36.957	92
ENSG00000157557.13	chr21	+	ETS2	38824955	45	36.885	122	24	40	60	38	29.688	128	35	48.611	72	76	46.914	162	38	41.304	92
ENSG00000157617.17	chr21	-	C2CD2	41885112	22	81.481	27	12	63.158	19	23	79.31	29	7	70	10	12	75	16	11	91.667	12
ENSG00000157617.17	chr21	-	C2CD2	41886173	1	3.704	27	2	10.526	19	3	10.345	29	2	20	10	2	12.5	16	1	8.333	12
ENSG00000159055.4	chr21	-	MIS18A	32268228	471	98.742	477	196	98.492	199	360	98.361	366	31	93.939	33	73	100	73	42	93.333	45
ENSG00000159079.19	chr21	-	CFAP298	32600133	12	1.309	917	3	0.8	375	11	1.541	714	2	2.299	87	8	3.433	233	2	2.174	92
ENSG00000159079.19	chr21	-	CFAP298	32601667	889	96.947	917	362	96.533	375	691	96.779	714	81	93.103	87	217	93.133	233	90	97.826	92
ENSG00000159086.15	chr21	-	PAXBP1	32733899	108	71.053	152	33	70.213	47	93	77.5	120	49	80.328	61	102	79.07	129	53	80.303	66
ENSG00000159086.15	chr21	-	PAXBP1	32734096	1	0.658	152	1	2.128	47	2	1.667	120	0	0	61	2	1.55	129	0	0	66
ENSG00000159086.15	chr21	-	PAXBP1	32734250	5	3.289	152	1	2.128	47	1	0.833	120	1	1.639	61	3	2.326	129	3	4.545	66
ENSG00000159086.15	chr21	-	PAXBP1	32734824	8	5.263	152	4	8.511	47	5	4.167	120	5	8.197	61	7	5.426	129	0	0	66
ENSG00000159086.15	chr21	-	PAXBP1	32741339	23	15.132	152	4	8.511	47	13	10.833	120	4	6.557	61	11	8.527	129	4	6.061	66
ENSG00000159110.22	chr21	+	IFNAR2	33252803	8	9.756	82	1	2.778	36	7	11.864	59	0	0	14	4	6.78	59	1	5.556	18
ENSG00000159110.22	chr21	+	IFNAR2	33262757	61	74.39	82	27	75	36	41	69.492	59	11	78.571	14	40	67.797	59	12	66.667	18
ENSG00000159110.22	chr21	+	IFNAR2	33265664	9	10.976	82	6	16.667	36	7	11.864	59	2	14.286	14	13	22.034	59	4	22.222	18
ENSG00000159128.16	chr21	+	IFNGR2	33427036	5	3.247	154	0	0	68	2	1.739	115	2	3.846	52	3	2.222	135	0	0	44
ENSG00000159128.16	chr21	+	IFNGR2	33432844	2	1.299	154	0	0	68	2	1.739	115	1	1.923	52	2	1.481	135	0	0	44
ENSG00000159128.16	chr21	+	IFNGR2	33434546	3	1.948	154	0	0	68	0	0	115	2	3.846	52	0	0	135	1	2.273	44
ENSG00000159128.16	chr21	+	IFNGR2	33437516	142	92.208	154	67	98.529	68	108	93.913	115	45	86.538	52	125	92.593	135	42	95.455	44
ENSG00000159131.17	chr21	-	GART	33498518	8	1.1	727	1	0.342	292	8	1.349	593	4	4.878	82	16	6.426	249	8	7.921	101
ENSG00000159131.17	chr21	-	GART	33503184	92	12.655	727	29	9.932	292	59	9.949	593	13	15.854	82	53	21.285	249	18	17.822	101
ENSG00000159131.17	chr21	-	GART	33503962	342	47.043	727	157	53.767	292	327	55.143	593	28	34.146	82	86	34.538	249	34	33.663	101
ENSG00000159131.17	chr21	-	GART	33524009	261	35.901	727	95	32.534	292	174	29.342	593	33	40.244	82	87	34.94	249	38	37.624	101
ENSG00000159140.23	chr21	+	SON	33559062	101	13.836	730	31	9.657	321	82	14.236	576	37	19.072	194	106	20.038	529	54	19.565	276
ENSG00000159140.23	chr21	+	SON	33560662	66	9.041	730	30	9.346	321	47	8.16	576	15	7.732	194	49	9.263	529	23	8.333	276
ENSG00000159140.23	chr21	+	SON	33577350	123	16.849	730	36	11.215	321	96	16.667	576	28	14.433	194	78	14.745	529	37	13.406	276
ENSG00000159140.23	chr21	+	SON	33577481	418	57.26	730	215	66.978	321	328	56.944	576	108	55.67	194	282	53.308	529	150	54.348	276
ENSG00000159147.18	chr21	-	DONSON	33577471	22	10	220	4	4.04	99	20	11.429	175	3	11.111	27	8	10.39	77	2	6.25	32
ENSG00000159147.18	chr21	-	DONSON	33577557	52	23.636	220	28	28.283	99	38	21.714	175	5	18.519	27	15	19.481	77	6	18.75	32
ENSG00000159147.18	chr21	-	DONSON	33577727	2	0.909	220	1	1.01	99	2	1.143	175	1	3.704	27	3	3.896	77	0	0	32
ENSG00000159147.18	chr21	-	DONSON	33577905	129	58.636	220	62	62.626	99	110	62.857	175	16	59.259	27	45	58.442	77	20	62.5	32
ENSG00000159147.18	chr21	-	DONSON	33578190	6	2.727	220	0	0	99	1	0.571	175	0	0	27	0	0	77	0	0	32
ENSG00000159200.18	chr21	-	RCAN1	34516484	34	91.892	37	20	100	20	33	86.842	38	71	95.946	74	171	93.443	183	80	86.022	93
ENSG00000159200.18	chr21	-	RCAN1	34516668	2	5.405	37	0	0	20	4	10.526	38	2	2.703	74	9	4.918	183	7	7.527	93
ENSG00000159228.13	chr21	+	CBR1	36072985	6	1.734	346	3	2.239	134	4	1.544	259	0	0	20	0	0	47	0	0	19
ENSG00000159228.13	chr21	+	CBR1	36073164	334	96.532	346	131	97.761	134	252	97.297	259	20	100	20	46	97.872	47	19	100	19
ENSG00000159256.13	chr21	+	MORC3	36376528	7	12.5	56	8	28.571	28	5	16.667	30	3	9.375	32	19	22.892	83	8	16.667	48
ENSG00000159256.13	chr21	+	MORC3	36376632	45	80.357	56	18	64.286	28	21	70	30	25	78.125	32	61	73.494	83	33	68.75	48
ENSG00000159256.13	chr21	+	MORC3	36378884	1	1.786	56	1	3.571	28	0	0	30	1	3.125	32	2	2.41	83	2	4.167	48
ENSG00000159259.8	chr21	+	CHAF1B	36398723	10	5.848	171	1	1.408	71	6	3.822	157	0	0	14	1	2.632	38	1	5.882	17
ENSG00000159259.8	chr21	+	CHAF1B	36416827	128	74.854	171	58	81.69	71	116	73.885	157	9	64.286	14	30	78.947	38	15	88.235	17
ENSG00000159259.8	chr21	+	CHAF1B	36419015	29	16.959	171	11	15.493	71	32	20.382	157	5	35.714	14	4	10.526	38	1	5.882	17
ENSG00000159267.17	chr21	-	HLCS	36748607	2	6.667	30	1	5.882	17	0	0	38	5	25	20	10	23.256	43	10	30.303	33
ENSG00000159267.17	chr21	-	HLCS	36750888	1	3.333	30	0	0	17	2	5.263	38	1	5	20	0	0	43	1	3.03	33
ENSG00000159267.17	chr21	-	HLCS	36751066	2	6.667	30	0	0	17	1	2.632	38	0	0	20	3	6.977	43	0	0	33
ENSG00000159267.17	chr21	-	HLCS	36751192	9	30	30	6	35.294	17	15	39.474	38	9	45	20	17	39.535	43	14	42.424	33
ENSG00000159267.17	chr21	-	HLCS	36752050	3	10	30	3	17.647	17	6	15.789	38	1	5	20	4	9.302	43	4	12.121	33
ENSG00000159267.17	chr21	-	HLCS	36752702	1	3.333	30	1	5.882	17	5	13.158	38	0	0	20	4	9.302	43	1	3.03	33
ENSG00000159267.17	chr21	-	HLCS	36753766	4	13.333	30	1	5.882	17	3	7.895	38	2	10	20	1	2.326	43	0	0	33
ENSG00000159267.17	chr21	-	HLCS	36754155	2	6.667	30	1	5.882	17	4	10.526	38	0	0	20	0	0	43	0	0	33
ENSG00000159267.17	chr21	-	HLCS	36854788	0	0	30	1	5.882	17	1	2.632	38	0	0	20	3	6.977	43	0	0	33
ENSG00000160190.14	chr21	+	SLC37A1	42575949	2	2.174	92	3	6.522	46	4	5.195	77	0	0	48	0	0	127	0	0	51
ENSG00000160190.14	chr21	+	SLC37A1	42581339	2	2.174	92	2	4.348	46	1	1.299	77	1	2.083	48	9	7.087	127	0	0	51
ENSG00000160190.14	chr21	+	SLC37A1	42581426	86	93.478	92	41	89.13	46	70	90.909	77	46	95.833	48	116	91.339	127	50	98.039	51
ENSG00000160191.18	chr21	+	PDE9A	42656937	3	1.754	171	2	2.985	67	0	0	113	0	0	25	2	4.082	49	0	0	26
ENSG00000160191.18	chr21	+	PDE9A	42701191	10	5.848	171	4	5.97	67	7	6.195	113	1	4	25	0	0	49	1	3.846	26
ENSG00000160191.18	chr21	+	PDE9A	42775440	7	4.094	171	7	10.448	67	14	12.389	113	3	12	25	3	6.122	49	3	11.538	26
ENSG00000160191.18	chr21	+	PDE9A	42775509	143	83.626	171	48	71.642	67	87	76.991	113	18	72	25	42	85.714	49	21	80.769	26
ENSG00000160191.18	chr21	+	PDE9A	42775692	1	0.585	171	2	2.985	67	0	0	113	2	8	25	1	2.041	49	0	0	26
ENSG00000160193.12	chr21	-	WDR4	42842997	5	2.358	212	3	3.261	92	6	3.226	186	0	0	9	0	0	35	1	7.143	14
ENSG00000160193.12	chr21	-	WDR4	42843094	157	74.057	212	72	78.261	92	137	73.656	186	5	55.556	9	28	80	35	12	85.714	14
ENSG00000160193.12	chr21	-	WDR4	42847663	20	9.434	212	8	8.696	92	20	10.753	186	0	0	9	0	0	35	0	0	14
ENSG00000160193.12	chr21	-	WDR4	42848101	9	4.245	212	2	2.174	92	2	1.075	186	1	11.111	9	1	2.857	35	0	0	14
ENSG00000160193.12	chr21	-	WDR4	42849226	8	3.774	212	4	4.348	92	10	5.376	186	2	22.222	9	4	11.429	35	0	0	14
ENSG00000160193.12	chr21	-	WDR4	42849994	4	1.887	212	1	1.087	92	3	1.613	186	0	0	9	0	0	35	0	0	14
ENSG00000160194.18	chr21	+	NDUFV3	42883825	14	2.086	671	8	2.632	304	12	2.222	540	3	1.657	181	15	3.538	424	7	3.646	192
ENSG00000160194.18	chr21	+	NDUFV3	42909100	575	85.693	671	262	86.184	304	453	83.889	540	156	86.188	181	349	82.311	424	154	80.208	192
ENSG00000160194.18	chr21	+	NDUFV3	42909670	49	7.303	671	20	6.579	304	44	8.148	540	12	6.63	181	37	8.726	424	19	9.896	192
ENSG00000160194.18	chr21	+	NDUFV3	42911901	18	2.683	671	6	1.974	304	9	1.667	540	6	3.315	181	8	1.887	424	4	2.083	192
ENSG00000160199.15	chr21	+	PKNOX1	43030214	35	36.458	96	7	14.894	47	29	32.584	89	4	33.333	12	12	34.286	35	9	37.5	24
ENSG00000160199.15	chr21	+	PKNOX1	43030715	6	6.25	96	4	8.511	47	2	2.247	89	0	0	12	1	2.857	35	2	8.333	24
ENSG00000160199.15	chr21	+	PKNOX1	43030772	10	10.417	96	11	23.404	47	10	11.236	89	1	8.333	12	0	0	35	0	0	24
ENSG00000160199.15	chr21	+	PKNOX1	43030925	10	10.417	96	11	23.404	47	15	16.854	89	3	25	12	2	5.714	35	3	12.5	24
ENSG00000160199.15	chr21	+	PKNOX1	43033577	29	30.208	96	11	23.404	47	30	33.708	89	3	25	12	17	48.571	35	9	37.5	24
ENSG00000160200.18	chr21	-	CBS	43053191	910	97.326	935	399	96.61	413	765	97.826	782	47	97.917	48	138	96.503	143	71	94.667	75
ENSG00000160200.18	chr21	-	CBS	43055057	10	1.07	935	5	1.211	413	7	0.895	782	0	0	48	2	1.399	143	1	1.333	75
ENSG00000160201.12	chr21	-	U2AF1	43092956	1082	99.724	1085	444	100	444	900	99.448	905	142	99.301	143	318	98.758	322	154	99.355	155
ENSG00000160208.13	chr21	+	RRP1B	43693451	14	3.325	421	4	1.98	202	13	3.095	420	3	4.918	61	3	2.174	138	1	1.205	83
ENSG00000160208.13	chr21	+	RRP1B	43696079	398	94.537	421	194	96.04	202	400	95.238	420	56	91.803	61	132	95.652	138	81	97.59	83
