gene_id	short_gene_id	APA_change	pvalue	APA_type	chrom	strand	gene_name	gene_biotype	PAS_coordinates	number_of_PAS	reads_D0	PAUs_D0	reads_D7	PAUs_D7	PAU_changes
ENSG00000280071.5	ENSG00000280071	0.0475505598088242	0.0288839687795899	Mixed_APA	chr21	-	ENSG00000280071	artifact	5116343,5120641	2	1188,88	91.525,6.78	368,6	96.084,1.567	4.559,-5.213
ENSG00000273590.6	ENSG00000273590	0.0461111111111112	0.288850499890756	Last_exon_tandem_APA	chr21	+	ENSG00000273590	artifact	7758627,7760557	2	141,2	97.917,1.389	46,3	92,6	-5.917,4.611
ENSG00000160209.19	ENSG00000160209	-0.0561108362196933	0.371648159415155	Last_exon_tandem_APA	chr21	+	PDXK	protein_coding	43756146,43756214,43758947,43762296	4	315,172,28,135	45.785,25,4.07,19.622	106,62,19,35	45.106,26.383,8.085,14.894	-0.679,1.383,4.015,-4.728
ENSG00000160218.13	ENSG00000160218	0.122787610619469	0.267799822906521	Mixed_APA	chr21	+	TRAPPC10	protein_coding	44059698,44060258,44083472,44084502,44100066,44104733,44105050,44105896,44106277,44106552	10	12,19,8,11,7,31,42,33,13,12	6,9.5,4,5.5,3.5,15.5,21,16.5,6.5,6	8,3,0,3,4,17,21,13,10,18	7.08,2.655,0,2.655,3.54,15.044,18.584,11.504,8.85,15.929	1.08,-6.845,-4,-2.845,0.04,-0.456,-2.416,-4.996,2.35,9.929
ENSG00000154639.19	ENSG00000154639	0.0548824943817496	0.000441448271515377	Mixed_APA	chr21	+	CXADR	protein_coding	17567760,17570098,17593910	3	115,1537,39	6.253,83.578,2.121	33,1595,17	1.939,93.713,0.999	-4.314,10.135,-1.122
ENSG00000198743.7	ENSG00000198743	-0.0259834871296746	0.610467488794852	Mixed_APA	chr21	+	SLC5A3	protein_coding	34074277,34103454,34106260	3	11,2,120	7.746,1.408,84.507	41,7,344	10.099,1.724,84.729	2.353,0.316,0.222
ENSG00000205726.15	ENSG00000205726	0.21974358974359	5.79476175466276e-06	Mixed_APA	chr21	+	ITSN1	protein_coding	33817650,33817736,33837369,33837452,33838498,33897896,33899861	7	15,17,20,59,495,1,6	2.308,2.615,3.077,9.077,76.154,0.154,0.923	16,11,3,11,181,12,48	5.333,3.667,1,3.667,60.333,4,16	3.025,1.052,-2.077,-5.41,-15.821,3.846,15.077
ENSG00000159140.23	ENSG00000159140	-0.0645993258162896	0.0409355190269944	Mixed_APA	chr21	+	SON	protein_coding	33559062,33560662,33577350,33577481	4	214,143,255,961	13.153,8.789,15.673,59.066	197,87,143,540	19.72,8.709,14.314,54.054	6.567,-0.08,-1.359,-5.012
ENSG00000159200.18	ENSG00000159200	0.010827067669173	0.81046363013876	Mixed_APA	chr21	-	RCAN1	protein_coding	34516484,34516668	2	87,6	91.579,6.316	322,18	92,5.143	0.421,-1.173
ENSG00000166265.13	ENSG00000166265	0.185967852044933	0.0639349931165394	Mixed_APA	chr21	-	CYYR1	protein_coding	26466216,26467126,26467265,26468030,26477577,26566032	6	131,5,174,27,16,16	33.333,1.272,44.275,6.87,4.071,4.071	40,1,27,6,1,1	48.78,1.22,32.927,7.317,1.22,1.22	15.447,-0.052,-11.348,0.447,-2.851,-2.851
ENSG00000173276.14	ENSG00000173276	0.417582417582418	0.00133809480000702	Last_exon_tandem_APA	chr21	-	ZBTB21	protein_coding	41986831,41988639,41990336,41990769	4	24,48,5,5	26.374,52.747,5.495,5.495	45,14,0,2	69.231,21.538,0,3.077	42.857,-31.209,-5.495,-2.418
ENSG00000186866.17	ENSG00000186866	0.063094762095162	0.0804208660600716	Mixed_APA	chr21	-	POFUT2	protein_coding	45263019,45263935,45263987,45285698	4	4,180,14,4	1.951,87.805,6.829,1.951	6,287,3,5	1.967,94.098,0.984,1.639	0.016,6.293,-5.845,-0.312
ENSG00000160214.13	ENSG00000160214	0.0307606937034511	0.208584871351065	Last_exon_tandem_APA	chr21	+	RRP1	protein_coding	43804099,43804224,43805757	3	739,6,8	95.85,0.778,1.038	180,4,4	92.784,2.062,2.062	-3.066,1.284,1.024
ENSG00000141956.14	ENSG00000141956	0.135897435897436	0.315788694511177	Mixed_APA	chr21	-	PRDM15	protein_coding	41798225,41799121	2	57,8	73.077,10.256	26,3	86.667,10	13.59,-0.256
ENSG00000159128.16	ENSG00000159128	-0.0185748969131758	0.549240404675046	Mixed_APA	chr21	+	IFNGR2	protein_coding	33427036,33432844,33434546,33437516	4	7,4,3,317	2.077,1.187,0.89,94.065	5,3,3,212	2.165,1.299,1.299,91.775	0.088,0.112,0.409,-2.29
ENSG00000198618.5	ENSG00000198618	-0.0278202189966896	0.536733754882738	Last_exon_tandem_APA	chr21	+	PPIAP22	processed_pseudogene	18857974,18858142,18858243,18858296,18858493	5	6,7,12,7,321	1.681,1.961,3.361,1.961,89.916	3,1,6,1,117	2.273,0.758,4.545,0.758,88.636	0.592,-1.203,1.184,-1.203,-1.28
ENSG00000160193.12	ENSG00000160193	0.0672765657987333	0.457595544609777	Mixed_APA	chr21	-	WDR4	protein_coding	42842997,42843094,42847663,42848101,42849226,42849994	6	14,366,48,13,22,8	2.857,74.694,9.796,2.653,4.49,1.633	1,45,0,2,6,0	1.724,77.586,0,3.448,10.345,0	-1.133,2.892,-9.796,0.795,5.855,-1.633
ENSG00000157540.22	ENSG00000157540	0.172649572649573	0.0321900446448335	Last_exon_tandem_APA	chr21	+	DYRK1A	protein_coding	37514759,37515170,37515249,37515377	4	5,189,12,22	2.137,80.769,5.128,9.402	2,53,12,16	2.222,58.889,13.333,17.778	0.085,-21.88,8.205,8.376
ENSG00000159256.13	ENSG00000159256	0.0166289958023894	0.835365507638378	Mixed_APA	chr21	+	MORC3	protein_coding	36376528,36376632,36378884	3	20,84,2	17.544,73.684,1.754	30,119,5	18.405,73.006,3.067	0.861,-0.678,1.313
ENSG00000154645.14	ENSG00000154645	0.229166666666667	0.257731301697863	Last_exon_tandem_APA	chr21	+	CHODL	protein_coding	18266480,18266532,18267367	3	4,3,9	22.222,16.667,50	6,5,34	12.5,10.417,70.833	-9.722,-6.25,20.833
ENSG00000205670.12	ENSG00000205670	0.170291777188329	0.0157776723718948	Mixed_APA	chr21	+	SMIM11	protein_coding	34389151,34402773	2	123,7	94.615,5.385	44,13	75.862,22.414	-18.753,17.029
ENSG00000142166.15	ENSG00000142166	0.306798433325552	2.73648870248167e-05	Mixed_APA	chr21	+	IFNAR1	protein_coding	33349075,33356041,33356550,33359141,33359304,33359567,33359823,33361968	8	4,156,3,2,3,1,2,0	2.21,86.188,1.657,1.105,1.657,0.552,1.105,0	11,113,11,12,14,5,21,10	5.164,53.052,5.164,5.634,6.573,2.347,9.859,4.695	2.954,-33.136,3.507,4.529,4.916,1.795,8.754,4.695
ENSG00000142207.7	ENSG00000142207	0.092415514592934	0.233945224446915	Last_exon_tandem_APA	chr21	-	URB1	protein_coding	32311018,32313466,32313584,32313965,32314044,32314154	6	21,36,11,22,195,34	6.25,10.714,3.274,6.548,58.036,10.119	11,30,7,4,85,12	7.097,19.355,4.516,2.581,54.839,7.742	0.847,8.641,1.242,-3.967,-3.197,-2.377
ENSG00000280800.1	ENSG00000280800	0.244755244755245	0.309882375634968	Last_exon_tandem_APA	chr21	-	ENSG00000280800	lncRNA	8210440,8210497,8210554,8210865,8210928	5	8,6,3,12,5	15.385,11.538,5.769,23.077,9.615	4,3,2,3,2	18.182,13.636,9.091,13.636,9.091	2.797,2.098,3.322,-9.441,-0.524
ENSG00000180530.11	ENSG00000180530	-0.0124481327800829	0.751610663122315	Last_exon_tandem_APA	chr21	-	NRIP1	protein_coding	14961244,14961753	2	120,4	93.023,3.101	225,4	93.361,1.66	0.338,-1.441
ENSG00000156253.7	ENSG00000156253	0.180656443368308	0.0835977236187266	Last_exon_tandem_APA	chr21	-	RWDD2B	protein_coding	29004778,29005759,29006211	3	3,104,11	2.381,82.54,8.73	9,33,6	15.254,55.932,10.169	12.873,-26.608,1.439
ENSG00000160190.14	ENSG00000160190	0.042766001234822	0.227302621240779	Mixed_APA	chr21	+	SLC37A1	protein_coding	42575949,42581339,42581426	3	9,5,197	4.186,2.326,91.628	0,10,212	0,4.425,93.805	-4.186,2.099,2.177
ENSG00000159259.8	ENSG00000159259	-0.0235371036286368	0.772229908693186	Mixed_APA	chr21	+	CHAF1B	protein_coding	36398723,36416827,36419015	3	17,302,72	4.261,75.689,18.045	2,54,10	2.899,78.261,14.493	-1.362,2.572,-3.552
ENSG00000142197.13	ENSG00000142197	0.193073593073593	0.206623153240181	Last_exon_tandem_APA	chr21	+	DOP1B	protein_coding	36294122,36294274	2	13,11	39.394,33.333	54,47	51.429,44.762	12.035,11.429
ENSG00000278233.1	ENSG00000278233	-0.00137931034482759	0.469665074157431	Single PAS	chr21	+	RNA5-8SN2	rRNA	8212728	1	1514	99.934	724	99.862	-0.072
ENSG00000159147.18	ENSG00000159147	0.0565015479876161	0.439987944494568	Mixed_APA	chr21	-	DONSON	protein_coding	33577471,33577557,33577727,33577905,33578190	5	46,118,5,301,7	9.312,23.887,1.012,60.931,1.417	13,26,4,81,0	9.559,19.118,2.941,59.559,0	0.247,-4.769,1.929,-1.372,-1.417
ENSG00000154734.16	ENSG00000154734	0.0914368650217706	0.38683959986375	Last_exon_tandem_APA	chr21	-	ADAMTS1	protein_coding	26836287,26836413,26837011	3	38,9,3	71.698,16.981,5.66	75,2,6	82.418,2.198,6.593	10.72,-14.783,0.933
ENSG00000197381.18	ENSG00000197381	0.135326086956522	0.248332557230259	Mixed_APA	chr21	+	ADARB1	protein_coding	45222582,45223286,45224246,45226560	4	10,3,3,36	15.625,4.688,4.688,56.25	26,4,2,76	22.609,3.478,1.739,66.087	6.984,-1.21,-2.949,9.837
ENSG00000159110.22	ENSG00000159110	0.117464456447507	0.177935966854664	Mixed_APA	chr21	+	IFNAR2	protein_coding	33252803,33262757,33265664	3	16,129,22	9.04,72.881,12.429	5,63,19	5.495,69.231,20.879	-3.545,-3.65,8.45
ENSG00000154640.15	ENSG00000154640	-0.00867478774455521	0.67950943229196	Single PAS	chr21	-	BTG3	protein_coding	17593653	1	244	96.825	292	97.01	0.185
ENSG00000156273.16	ENSG00000156273	0.0264718440153707	0.73444377986593	Mixed_APA	chr21	+	BACH1	protein_coding	29329693,29344975,29345842,29345903,29345989,29346148,29630751	7	2,4,13,6,70,109,2	0.935,1.869,6.075,2.804,32.71,50.935,0.935	5,3,15,5,57,106,4	2.538,1.523,7.614,2.538,28.934,53.807,2.03	1.603,-0.346,1.539,-0.266,-3.776,2.872,1.095
ENSG00000156239.12	ENSG00000156239	0.137022054025838	0.291124826301324	Mixed_APA	chr21	-	N6AMT1	protein_coding	28871223,28872191,28873256,28874645,28876155,28876261	6	4,22,5,20,38,3	4.124,22.68,5.155,20.619,39.175,3.093	2,29,2,12,29,4	2.532,36.709,2.532,15.19,36.709,5.063	-1.592,14.029,-2.623,-5.429,-2.466,1.97
ENSG00000185658.14	ENSG00000185658	-0.376809241046576	4.95954111112695e-08	Mixed_APA	chr21	-	BRWD1	protein_coding	39184176,39185482,39185893,39192419,39193819,39195580,39196120,39296439,39296775,39298077	10	24,26,36,36,18,27,14,51,15,6	7.571,8.202,11.356,11.356,5.678,8.517,4.416,16.088,4.732,1.893	33,10,24,23,9,10,5,192,49,15	8.088,2.451,5.882,5.637,2.206,2.451,1.225,47.059,12.01,3.676	0.517,-5.751,-5.474,-5.719,-3.472,-6.066,-3.191,30.971,7.278,1.783
ENSG00000233056.4	ENSG00000233056	0.0833333333333334	0.483008269063913	Single PAS	chr21	-	ERVH48-1	protein_coding	42916803	1	44	91.667	13	92.857	1.19
ENSG00000235890.2	ENSG00000235890	0.333333333333333	0.269505475491383	Mixed_APA	chr21	+	TSPEAR-AS1	lncRNA	44507533,44516575,44518751,44520821	4	6,5,2,4	33.333,27.778,11.111,22.222	0,6,5,2	0,35.294,29.412,11.765	-33.333,7.516,18.301,-10.457
ENSG00000215424.10	ENSG00000215424	0.542857142857143	0.0702683510040034	Mixed_APA	chr21	+	MCM3AP-AS1	lncRNA	46241023,46252855,46254134	3	5,9,3	16.667,30,10	0,3,6	0,21.429,42.857	-16.667,-8.571,32.857
ENSG00000185917.14	ENSG00000185917	0.0547259232764017	0.551308435344556	Mixed_APA	chr21	-	SETD4	protein_coding	36034541,36034943,36043684	3	84,6,104	39.81,2.844,49.289	47,2,49	44.34,1.887,46.226	4.53,-0.957,-3.063
ENSG00000182240.16	ENSG00000182240	-0.083570750237417	0.605718095931753	Last_exon_tandem_APA	chr21	+	BACE2	protein_coding	41275860,41275947,41276589,41282530	4	21,4,36,12	25.926,4.938,44.444,14.815	9,5,21,3	23.077,12.821,53.846,7.692	-2.849,7.883,9.402,-7.123
ENSG00000156256.15	ENSG00000156256	0.0228219696969697	0.459109080320803	Last_exon_tandem_APA	chr21	+	USP16	protein_coding	29054290,29054488	2	12,301	3.75,94.062	2,158	1.212,95.758	-2.538,1.696
ENSG00000160199.15	ENSG00000160199	0.136049052938319	0.249251198005779	Last_exon_tandem_APA	chr21	+	PKNOX1	protein_coding	43030214,43030715,43030772,43030925,43033577	5	71,12,31,36,70	30.603,5.172,13.362,15.517,30.172	25,3,1,8,29	35.211,4.225,1.408,11.268,40.845	4.608,-0.947,-11.954,-4.249,10.673
